comentario_p1,previsao,probabilidade_de_acerto
"o internamento estava marcado para as 8 h , cheguei no hospital as 7 h e so conseguiram um leito de enfermeira as 11 h . como pode agendar o internamento as 8 h se nao tem leito de enfermeira disponivel e deixa uma gestante na recepcao sentada sem conforto por 3 horas numa recepcao esperando por um leito ?",QUEIXA,98.07%
eu nao fiz esse procedimento,QUEIXA,92.65%
cheguei as 12 30h e nao tinha recepcionista. quando apareceu era.14 30h.,QUEIXA,97.01%
precisa melhorar muito servico prestado pelo plano,OUTROS,75.09%
nao tenho interesse,OUTROS,82.79%
pessimo atendimento,QUEIXA,93.63%
5 muito satisfeito,ELOGIO,93.51%
falta de orientacao e informacao na recepcao,QUEIXA,97.84%
errei,OUTROS,85.24%
"recepcionista mal educada ,marqueiro no ato de chama demora uma vida pra chega porteiro parece que nos nao existimos nem um boa tarde nem um boa noite informacao sao nao sabem dar direito",QUEIXA,97.57%
a demorar,OUTROS,83.11%
onde eu chegava me passavam informacoes diferentes,QUEIXA,96.61%
perdao digitei o numero errado por um equivoco,OUTROS,66.35%
nao tenho interesse,OUTROS,82.79%
nao tenho insatisfacao,OUTROS,72.81%
cheguei por volta das 6h com contracoes e nao tinha ninguem na recepcao. demorou mais de 30 minutos pra finalmente aparecer alguem,QUEIXA,97.89%
longo tempo de espera.,QUEIXA,97.57%
"o atendimento na madrugada e bem dificil e constrangedor. a impressao que tenho e que a maioria nao tem zelo, cuidado, atencao com a vida do paciente . nao sao todos , a minoria na madrugada e boa! ja tive episodios de distratos e constrangimento pelo pessoal do noturno.",OUTROS,86.29%
bom dia,OUTROS,67.39%
"pediram para internar as 11h , como moro longe cheguei as 9h30, ate ai ok! mas foram fazer a ficha da internacao somente as 12h e fui para o pre operatorio quase 13h !",QUEIXA,96.78%
nao fui bem atendida 1f614,OUTROS,85.87%
demora ao atendimento nao chegou no horario dito pelo atendente,QUEIXA,97.65%
tenho plano para ficar no quarto e acabei ficando em uma maca na emergencia. o acolhimento ficou va desejar.,QUEIXA,97.18%
que eu ja avisei que a paciente faleceu e voces ficam perguntando,QUEIXA,93.16%
confusao quanto ao horario da cirurgia.,QUEIXA,97.26%
"achei o processo meio confuso, nao tinha o totem, chegavamos e tinha que deixar os papeis com a recepcionista e esperar ela chamar por ordem de chegada, os pacientes estavam confusos, e acabou que virou um rolo, tinha uns que chegavam e ja iam la, que foram atendidos mais rapido que os outros que por nao ter instrucao ficavam esperando, e tinha apenas uma recepcionista, somente bem depois chegou mais uma, minha reclamacao e somente essa, em relacao a recepcionista ela foi extremamente educada e profissional, o porteiro e maqueiro tambem!!!",QUEIXA,97.53%
resposta errada,OUTROS,70.2%
foi errado,OUTROS,89.38%
marquei errado,ELOGIO,91.6%
incorreto,OUTROS,85.24%
"desculpe, a pergunta de numero 1 digitei errado e nota 5",ELOGIO,97.86%
"demora no atendimento. eu estava em jejum e tive diabete gestacional. fiquei horas sem poder me alimentar, aguardando minha cesarea que ja estava agendada.",QUEIXA,98.12%
"cheguei com minha esposa no dia de 10 de agosto na emergencia depois voltei no dia 11 com ela e depois voltei novamente dia 12 e ficamos implorando para ela ficar internada para fazer exames porque ela nao estava urinando e nem devegando, um absurdo depois que imploramos para o medico interna ela porque ela nao esta passando bem sendo que ela estava com uma das pernas amputadas e ficamos no dia na sala de espera da emergencia sem conforto passamos a noite toda esperando um leito horrivel esta situacao.",QUEIXA,98.29%
escrevi errado,ELOGIO,91.6%
atende muito grosseiro.,OUTROS,84.14%
"atendimento otimo, com muita atencao e profissionalismo.",OUTROS,59.79%
poucas cadeiras para o aguardo na recepcao,QUEIXA,94.14%
desculpa apertei a opcao errada,ELOGIO,90.23%
as vezes as recepcionistas sao enroladas e so tem 1 pra atender todo mundo,QUEIXA,97.64%
esperei desde 2h da manha ate 17h do dia seguinte sempre falando que eu seria a proxims porem entrou diversas pessoas na frente,OUTROS,85.92%
"nao foi otimo, nem muito ruim, foi medio",OUTROS,83.4%
"24 horas pra ter um leito, acompanhanete sendo impedido de ter informacoes, o proprio centro cirurgico nao deixava ou dava noticias, acompanhanete sentado no chao por mais de 24h esperando. atendimento pessimo",QUEIXA,97.87%
muito bem atendida,ELOGIO,98.55%
fiquei andando varios minutos pedindo informacoes a varios profissionais que atuam no hospital e foi dificil achar o local,OUTROS,73.89%
sao muitas,OUTROS,70.47%
"minha insatisfacao foi com o maqueiro, depois da sala de recuperacao pos anestesica, fui levada com muita velocidade para a sala de internacao, e quando chegou na sala, a maca foi girada duas vezes, calsando enjoo e muitos episodio de vomitos",QUEIXA,97.78%
muito demora para ser atendida,QUEIXA,97.63%
nao tenho interesse,OUTROS,82.79%
nao tenho nenhuma queixa,OUTROS,83.96%
pessoas antipaticas,QUEIXA,91.9%
demora,QUEIXA,98.06%
falta de atencao com idosos,QUEIXA,97.7%
"ops fiquei por 72 hs na emergencia , isso e desumano",QUEIXA,97.46%
no passei pro cirurgia nenhuma,QUEIXA,96.69%
"demora, nao tinha maqueiro",QUEIXA,98.04%
"chegada no hospital, tinha ligado e marcado uma consulta de oftalmologia pra o barro preto cheguei dentro do horario , chegando la me mandaram pro bairro santa efigenia ! cheguei uns min atrasado expliquei o ocorrido mesmo assim nao quiseram me atender",QUEIXA,97.95%
foi muito bem recebido.,ELOGIO,99.07%
5 marquei errado desculpas,ELOGIO,91.6%
as vezes a recepcao faz de conta q nos nao estamos ali,QUEIXA,95.48%
perdao 5,OUTROS,85.24%
logistica de atendimento,QUEIXA,95.41%
a recepcao poderia auxilia melhor no uso do totem ou pular essa burocracia em casos mais urgentes,QUEIXA,96.81%
a falta de profissionalismo de muitos profissionais,QUEIXA,95.87%
pq meu filho e cadeirante e tem que fazer a biometria no dedo sempre e muito demorado pois ele deficiente ai uma dificuldade,QUEIXA,97.66%
demora,QUEIXA,98.06%
nao tenho interesse,OUTROS,82.79%
"as recepcionistas dificilmente resolvem algo, a supervisao pior ainda, sempre empurrando o problema. a internacao uma demora de mais 24h , em uma poltrona desconfortavel. atraso e desorganizacao para administracao dos medicamentos, demora no procedimento.",QUEIXA,97.89%
desculpa 5,ELOGIO,97.65%
atendimento mal feito,QUEIXA,95.72%
preciso da guia de fisioterapia liberada e ninguem libera,QUEIXA,90.26%
essa merda do totem e muito chato. tira essa merda,OUTROS,86.8%
fiquei muito tempo esperando no hospital,QUEIXA,97.71%
demorar para ser atendida,QUEIXA,94.5%
muitas pessoas,QUEIXA,91.35%
opa desculpe,ELOGIO,91.67%
tempo de espera,QUEIXA,97.9%
mandei errado,ELOGIO,91.6%
demora no atendimento,QUEIXA,97.91%
"nao foi realizada nenhuma cirurgia, estou aguardando para fazer uma colonoscopia",QUEIXA,97.76%
nao tive apoio,QUEIXA,96.52%
fiquei muito tempo jogado no corredor e demorar muito para dar medicacao,QUEIXA,97.1%
demora no atendimento e na realizacao da tomografia com contraste sou portadora de fibromialgia e demorou quase 2 horas para ser atendida pro procedimento.,QUEIXA,98.02%
pedi para chegar cedo e quando vem interna e depois de 4h,QUEIXA,95.84%
"nao tem uma pessoa que organize, onde fica um tumulto, por diversas vezes entramos e ninguem pediu identificacao, ate mesmo visitas nos relataram que nao se identificaram, apenas subiram, deixando a desejar na seguranca, visto que qualquer pessoa pode entrar no predio sem identificacao",QUEIXA,96.89%
minha mae com o femu quebrado esperei mas de 30 minutos pra o medico atender o raio x fiquei aguardando mas de uma hora por que nao tinha profissional pra fazer quem fez uma moca que estava dando suporte no setor de tomografia.,QUEIXA,98.05%
errei. 5,OUTROS,85.24%
correcao,OUTROS,85.24%
"funcionarios parece que estao ali trabalhando a forca,nao sao acolhedores nem receptivos e todo mundo merece um bom acolhimento principalmente dentro de um hospital.",OUTROS,81.21%
desculpa,ELOGIO,97.65%
"atendimento rapido, recepcao educada e eficiente.",OUTROS,87.72%
boa noite estou muito decepcionada com atendimento recebido no antonio prudente fiquei internada por uma semana para realizar a cirurgia no qual depois desse periodo recebi alta para que fosse feito a autorizacao para realizar a cirurgia em outra data o qual foi autorizado no dia 30 de aw o setembro o qual para minha supresa apos ser autorizado a cirurgia meu plano foi cancelado,QUEIXA,97.58%
"muito tumultuado,super lotacao",OUTROS,83.2%
muita demora,QUEIXA,98.08%
paciente relata que alguns atendentes precisam do um treinamento.,OUTROS,87.24%
demora no atendimento. a pre cirurgia foi marcada para as 12 30 internacao .. fui internada mais de 15h e so fiz minha cirurgia quase as 18h,QUEIXA,98.05%
cirurgia marcada para as 8 00hs e so realizada as 1700 horas e passei a noite na sala de espera,QUEIXA,98.16%
varios fatores,OUTROS,58.29%
"errei, 55",OUTROS,85.24%
mais de meia horas esperando,QUEIXA,97.44%
pessima disponibilidade de leito. falta de medicacao,QUEIXA,97.84%
nao houve,QUEIXA,91.46%
nao e com hospital la eles tratarm dela eu tou inastifeita sob as conosulta,QUEIXA,97.38%
desculpa era o 4,OUTROS,74.48%
desculpa foi errado,ELOGIO,99.44%
"nao tivemos apoio ao totem, sempre que precisamos utilizar a recepcao da obstetricia temos dificuldades com as atendentes",QUEIXA,96.51%
a resposta e muito satisfeito,OUTROS,89.7%
"minha mae com o femur fraturado, pediram pra tirar raio x do torax , ela ficou sentada horas em uma cadeira de rodas",QUEIXA,97.98%
a minha filha a dona do plano. mas pago por mim. nao se sentiu confortavel com o atendimento,QUEIXA,97.53%
sinceramente nao posso acreditar que depois de mais de um mes da morte dele vcs agora vem perguntar sobre isso o marcos faleceu depois dieta que deram errada pra ele alem de tudo nao tinha o equipamento necessario para reentuba lo uma cirurgia que seria simples e foram dias de horror infeccoes sangramento craniano falencia dos rins sem falar que no atestado de obito foi atestado sepsi o que nunca nos 37 dias de internacao foi comunicado pra nos pais perdemos a razao da nossa vida ja que nao tinha preparo nao tinha is equipamentos necessarios,QUEIXA,98.22%
nao ouve cirurgia alguma .... apenas um procedimento ... de injecao .... vcs na hapvida estao sendo enganados ... fizeram um circo como se tivesse cirurgia ... foi autorizado ate anestesia ... para na hora do procedimento so foi aplicado uma injecao .... igualzinha a uma que fiz anos atras em um consultorio normal .... nada de cirurgia ... repito .... foi armado um circo .... e vcs da hapvida pagaram por coisas que nao verdade nao existiram. uma delas foi a anestesia ... me fizeram ficar quase 24 horas sem comer desnecessariamente .... fiquei mais de 12 horas em um local para fazer algo que fiz igualzinho a anos atras em um consultorio e levou 1 no maximo 2 horas .... tempo de espera de uma consulta,QUEIXA,98.21%
"o tempo de demora do atendimento a cirurgia, solicitaram estar no hospital as 06 00 da manha , cirurgia prevista para as 09 00 horas , ao chegar ao hospital as 5 45 fui informada de troca de plantao de atendente e foi colocada a minha ficha a atendimento apartir das 07 00 .",QUEIXA,98.14%
desculpa e 5,ELOGIO,97.65%
eu errei. era nota 5,OUTROS,87.89%
o atendimento pessimo,QUEIXA,93.63%
demoro para o atendimento,QUEIXA,96.82%
nao e a chegada do hospital e no atendimento telefonico e pessimo.,QUEIXA,96.47%
pq pago convenio p ter apartamento...e sempre me levam p enfermaria,QUEIXA,94.62%
poderia ter mais agilidade no atendimento ! quando nao se consegue passar a digital e precisa ir ate o balcao !,QUEIXA,95.69%
me desculpa,OUTROS,87.86%
perda,OUTROS,85.24%
"na realidade errei a nota, 2",OUTROS,76.6%
"no preparo fui muito bem acolhida, mas indo para o quarto, o maqueiro me deixou la sem ao menos me arrumar, tipo assim me jogou la",QUEIXA,93.24%
correcao a resposta correta e 5 muito satisfeito,ELOGIO,94.46%
nao tenho interesse,OUTROS,82.79%
digitei errado seria 5 muito satisfeito,ELOGIO,97.69%
muito satisfeito,ELOGIO,93.51%
demora,QUEIXA,98.06%
respondi errado,ELOGIO,91.6%
foi terrivel o meu primeiro atendimento foi tratada pior do que se eu estivesse no sus prucurei ate diretor ele mim respondeu que nao podei fazer nada,QUEIXA,96.52%
cheguei uma hora antecipado portanto demorei umas duas horas na sala de recepcao,QUEIXA,97.69%
alguns profissionais desatento .,OUTROS,52.55%
demora e falta de informacao,QUEIXA,98.17%
"somente a espera normalmente a emergencia esta lotada, algumas vezes o totem esta com problema",QUEIXA,96.96%
"sem informacoes, nao tem orientacoes",QUEIXA,96.83%
a paciente ficou muito tempo na maca e nao consegui um coletor de urina.,QUEIXA,96.87%
a demora pra conseguir leito,QUEIXA,98.1%
demorou muito,QUEIXA,95.89%
mal tratado ignorancia falta de aconselhamentos,QUEIXA,95.37%
a cirurgia estava programada para as 8h e eu fui operada as 16h. fiquei muito cansada e com muita sede devido ao longo jejum,QUEIXA,97.72%
demora enorme,QUEIXA,94.22%
resposta errada n 5,OUTROS,70.2%
muita demora na recepcao para fazer a internacao,QUEIXA,98.29%
"boa noite a quem de direito em 08 08 2025 cheguei ao hospital por volta das 23hs em alguns minutos fui atendida pelo medico porem a medicacao so foi aplicada ja era muito mais de meia noite, porque eu fui procurar saber la no setor de medicacao, a partir dai eu com a minha acompanhante, porque eu tenho 72 anos de idade certo? ficamos sentadas naquelas cadeirinhas la do fundo aquelas cadeiras dura desconfortaveis la a noite inteira ate por volta de 9 horas da manha que um medico se manifestou dizer que tava vendo se existia possibilidade de eu ficar internada ou nao ai me tiraram daquela cadeira dura e me puseram la na sala de medicacao onde eu esperei liberar uma cama para mim na na observacao depois de muito tempo nem lembro que hora foi que eu fui para os quartos que eu fui realmente internada fiquei 4 dias do dia 8 ao dia 12 fui medicada o meu problema uma alergia que foi foi constatado o penfigo bolhoso ou de escama no final, mas la eles nao chegaram nesse resultado nao me passaram numa dermatologista segundo a medica que me atendeu era uma geriatra e ela disse que falou com uma com a medica e levou mandou foto porque tinha tirado foto de mim das bolhas que estavam no meu corpo e ela disse que era aquele medicamento que deveria ser ministrado. sai do hospital e passei no mesmo dia com a dermatologista que e que ta cuidando de mim ate hoje, os medicamentos do hospital nao resolveram meu problema depois fechar um diagnostico sem conseguir ainda a biopsia mesmo assim ela conseguiu acertar a medicacao. fui tratada fora do hospital gracas a deus. obs por tudo isso a minha nota e media ok! porem so falei isso porque voces perguntaram.",QUEIXA,98.23%
tive q para o medico e advogado p fazer a cirurgia c materiais devido,QUEIXA,97.89%
nao tenho interesse,OUTROS,82.79%
nao tenho interesse,OUTROS,82.79%
nao tenho interesse,OUTROS,82.79%
desculpe,ELOGIO,91.67%
nao fui bem orientada,OUTROS,59.23%
nao tenho interesse,OUTROS,82.79%
o momento que cheguei nao havia ningu,QUEIXA,97.11%
desculpa e o 5,ELOGIO,97.65%
demora para ser internada,QUEIXA,97.93%
nao tenho interesse,OUTROS,82.79%
ja abri ouvidoria,OUTROS,75.45%
"fiquei 24 horas numa maca esperando o convenio liberar a cirurgia, com dor, sem nem poder beber agua , se minha filha nao tivesse interferido feio eu teria que ter ficado ums 3 dias ou mais esperando liberacao",QUEIXA,97.88%
errei,OUTROS,85.24%
"errei, era 5",QUEIXA,95.69%
foi errado,OUTROS,89.38%
"ela tem 91 anos, houve uma demora para internar, ficou tres dias na emergencia, achei um absurdo. os segurancas sao radicais demais. fui pedir uma informacao no balcao de onde retirar os resultados dos exames, a mulher do balcao super grosseira e ai a outra pessoa viu e me orientou.",QUEIXA,97.81%
demora no internamento,QUEIXA,97.69%
desculpa foi errado queria botar muito satisfeito,ELOGIO,99.68%
o pessoal nao da atencao devida.,QUEIXA,90.47%
"cheguei na recepcao e me disseram que era na outra recepcao, cheguei na outra recepcao me disseram que era na recepcao que eu ja tinha passado.",QUEIXA,97.98%
sim porque demorou muito tempo pra mim,QUEIXA,97.69%
"primeiro que as recepcionistas sempre estao com cara de quem ta sendo obrigadas a trabalhar, cheguei perguntando como fazia para internar, pois nunca tinha feito isso, elas responderam como se a resposta fosse tao obvia! se eu soubesse nao teria perguntado. e o pior que nao foi so o momento da internacao. toda vez que eu ia pra emergencia no eugenia as recepcionistas estavam com cara feia, sem a minima vontade de estar ali! ta bom de demitir todas e fazer nova selecao, dessa vez contratem quem realmente queira trabalhar! fora elas, medico, porteiro, enfermeiras foi tudo ok",QUEIXA,96.99%
"totem nao estava prestando no momento da minha chegada, recepcionista nao nos deu atencao suficiente",QUEIXA,97.72%
muita demora,QUEIXA,98.08%
nao tenho interesse,OUTROS,82.79%
resposta incorreta,OUTROS,74.45%
nao tenho interesse,OUTROS,82.79%
demora,QUEIXA,98.06%
digo 5 muito satisfeito,ELOGIO,93.51%
desculpe era para ser o numero 4 satisfeito,OUTROS,52.07%
desculpe 5,ELOGIO,91.67%
muito satisfeito,ELOGIO,93.51%
valor estacionamento caro,OUTROS,62.04%
demora so isso,QUEIXA,98.01%
minha irma faleceu disse q a operacao foi bem e as 15 27 ela foi embora,OUTROS,89.96%
o pre operatorio foi bem ruim para mim,OUTROS,67.15%
nao fui informada se deveria ir ao totem ou recepcao,QUEIXA,97.2%
"demorou cerca de uma hora para me internar, sendo que cheguei no horario agendado",QUEIXA,98.07%
nefrite,OUTROS,85.24%
primeiro que minha tia faleceu.... e a partir dai e o problema... a mulher estava com cancer e um puta atendimento moroso... sabe... e triste mas acredito que tem muita gente que morre mas vcs carregam uma culpa fora da curva minha tia teve herpes hospitalar... nao sei se por baixa imunidade mas sao coisas que podiam ser evitadas.... alem de sofrem com a porra do cancer ainda sofreu com dores disso....,QUEIXA,97.44%
desculpe foi errado,ELOGIO,98.68%
"o atendimento foi de imediato, mas muito demorado ate o inicio da cirurgia.",QUEIXA,96.68%
pouca informacao atendimento irregular,QUEIXA,90.45%
nao tenho interesse,OUTROS,82.79%
"desculpe. opcao 4. houve uma cirurgia, o medico pediu fisioterapia, foi negado o servico. revoltante.",OUTROS,83.14%
nao tenho interesse,OUTROS,82.79%
demora nos procedimentos,QUEIXA,95.98%
desculpe...,ELOGIO,91.67%
falta de informacao,QUEIXA,97.84%
"atendimento mediano,",OUTROS,81.75%
corrigindo,OUTROS,85.24%
em primeiro lugar eu cheguei ao hospital era 5 40 da manha mais a internacao so foi feita ja era 8 20 mais pra isso acontece foi necessario eu abrir o atendimento pro medico que estava no plantao pois o medico que foi indicado pra fazer a cirurgia nao tinha aparecido ainda .,QUEIXA,98.25%
"desorganizacao,poucas enfermeiras, demora no atendimento, falta de profissionalismo. em relacao a colonoscopia a equipe foi muito boa, me explicou o detalhadamente so as instalacoes relacionadas principalmente ao corredor que eram precarias, ja em relacao a endoscopia o acolhimento nao foi tao bom assim, tambem sofri com a demora equipe totalmente despreparada , falta de agilidade nas empresas deixando filas e inclusive impedindo de usar os banheiros, bem como a estrutura tambem e inviavel em certos pontos, pois nao existe sequer banheiro",QUEIXA,93.1%
"cheguei no horario mandado as 5h, fiquei na recepcao sem informacao nenhuma, depois mandaram subir para um outro anda, todo mundo que iria fazer cirurgia, ficamos em pe, pois nao tinha o de sentar em torno de tres horas. isso tudo um absurdo, eu uma senhora de 75 anos, cardiaca, com prolapso uterino, e a cirurgia so aconteceu depois das 16h.",QUEIXA,98.28%
"demora pra ser atendido, nenhum apoio",QUEIXA,97.55%
atendimento muito demorado,QUEIXA,94.65%
"a recepcao nao sabia que a paciente ia chegar, nao sabia o leito que a paciente ia ficar.",QUEIXA,96.53%
"paguei por um servico e recebi outro, pagamos por apartamento e nos levaram para uma enfermaria, apos muito reclamacao nossa nos mandaram para um apartamento, porem o apartamento nao era no local que ficam as maes com os filhos, era no setor de inducao onde so tinham gravidas. no final, era um cubiculo o local que ficamos e mal tinha espaco para mim e meu acompanhante e minha filha bebezinha ficar, nem local para o berco tinha. vamos sim processar a empresa por danos no dia que era pra ser o mais feliz da minha vida, tive uma pessoa instalacao.",QUEIXA,98.26%
bom dia,OUTROS,67.39%
muita demora,QUEIXA,98.08%
bom atendimento,OUTROS,89.03%
ops errei,OUTROS,85.24%
paciencia eliana ficou 7 dias santa casa sao joaquim .. caso nao teve melhora .. foi transferida para sertaozinho desde a transferencia pedi para ir para ribeirao... porem informaram nao ter vaga .. ficou 14 dias sertaozinho.. quando piorou ela ficou muito debilitada ai mandou para ribeirao.. minha mae foi andando para hospital.. conversando .. ela ficou acamada de fraude.. estava com uma bacteria valvula coracao.. onde nao quiserem fazer cirurgia por ser de risco .. deixou minha mae morrer aos poucos.,QUEIXA,98.06%
bom dia,OUTROS,67.39%
errado,ELOGIO,91.6%
"o atendimento da recepcao foi horrivel, havia sido autorizado o exame de ultrassonografia pelvica mas mesmo assim tive que aguardar 1h mesmo estando autorizado, pois a recepcionista se negou a dar continuidade mesmo sem atender ninguem.",QUEIXA,97.84%
opa errei e o 5 muito satisfeito a equipe maravilhosa sem palavras para o quanto fui bem atendida,OUTROS,89.66%
errei a nota e 5,OUTROS,61.76%
"nao houve atendimento satisfatorio, nao diagnosticaram devidamente o que resultou no seu falecimento",QUEIXA,95.02%
dificuldade de internamento uma vez que ja tinha o diagnostico,QUEIXA,97.35%
"eu estou triste porque o cirurgiao estava mim esperando para fazer a minha cirurgia com urgencia no hospital ilha do leite, mas eu so podia sai do hospital de emergencia do derby com ambulancia , isso os cirurgioes estavam esperando desse as 16 00 ambulancia so veio chegar as 23 40 foi triste. isso aconteceu tambem com minha mae a espera da ambulancia foi triste no hospital do espinheiro.",QUEIXA,97.75%
"o atraso da cirurgia marcada. fiquei sentada numa cadeira de 15 hrs ate as 19 hrs praticamente. nao acomodou pra esperar no quarto. as urgencias passaram todas na frente, nao adiantou agendamento. quando perguntava informacoes, cada enfermeiro falava uma desculpa. enfim essas fora minhas insatisfacoes... sem contar toda hora ter que passar digital, quando tentava descansar chegava pra passar. totalmente desnecessario .",QUEIXA,97.23%
minha cesariana nao estava marcada no dia que era pra ser,QUEIXA,98.16%
no caso seria a qualidade da visita e nao ter leito disponivel,QUEIXA,95.56%
nao tenho interesse,OUTROS,82.79%
nao quero comentar,OUTROS,69.52%
quando chegamos nao tinha ninguem,QUEIXA,97.73%
"hospital lotado, demora no atendimento, e lentidao nas medicacao",QUEIXA,97.09%
nao tinha lugar pr ficar sendo q tinha sido lnformada q ia ficar emrepolso e meu acompanhante tambem .fomod muitp mal atendidos,QUEIXA,96.31%
"5. o motivo e que o medico pediu 3 vezes o procedimento no braco para parar as dores algo simples ja pra aproveitar a outra cirurgia no pe, so foi aprovado 1 vez deixando 2 nervosos sem fazer ja se passou 2 meses e ainda continuo com muita dor no braco e vou ter que voltar medico pra ver isso",QUEIXA,97.87%
cheguei de ambulancia transferencia e nao sabiam onde minha filha iria em qual leito e uti ela nao ficou na neonatal ela ficou na pediatrica,QUEIXA,97.91%
acima,OUTROS,85.24%
nunca consigo usar o totem para inpressao da pulseira,QUEIXA,95.68%
nao falei que estou insatisfeito,OUTROS,88.77%
demora,QUEIXA,98.06%
pessimo atendimento!,QUEIXA,93.63%
nao tenho interesse,OUTROS,82.79%
"porque chegamos as 6h e ja era proximo da troca do plantao que era as 7h entao a ficha da minha ficha so foi feita apos a troca do plantao com a equipe que assumiu as 7h, tanto que se voces identificarem vao ver o horario que foi feita a biometria, porem por recomendacao da equipe medica foi solicita que eu chegasse na unidade as 6h da manha e eu cheguei antes disso.",QUEIXA,97.34%
a demora no atendimento,QUEIXA,97.91%
"estou com um tumor na perna, precisando fazer a cirurgia de urgencia, fiz a consulta com dr juarez ainda nao recebi nada sobre a cirurgia e tem urgencia. ja estou procurando o sus para ver se faz no hospital laureano",QUEIXA,97.44%
nao tenho interesse,OUTROS,82.79%
"estava enternado no luiz de franca e o exame de endoscopia foi encaminhado para outro hospital que nao era o antonio prudente, mais levaram a gente pra la, cheio de pessoas idosas, o medico nao fez logo a biopsia, so indoscopia basica, e quando terminou ainda tive que espera quase 40 minutos pela ambulancia pra leva a gente de volta, meu filho autista de 6 anos pesando um pouco mais de 30 kl nos meus bracos ja se agonianhando por esta la cheio de gente entrando e saindo da sala",QUEIXA,98.16%
a falta de leito a espera e muito grande,QUEIXA,97.86%
eu nao tenho que reclamar pra mim todo mundo me da to muito bem otimo,OUTROS,74.73%
ate agora nao sei como consultar. ainda nao me mandaram nada. nem hum link para assistir a consulta,QUEIXA,97.29%
"a pessoa que procura um hospital e porque nao esta se sentindo bem e para tudo tem que colocar digital, como se a identidade e a carteira do plano nao service para nada.",QUEIXA,97.93%
paciente relata que teve muita demora do momento da internacao ate a hora da cirurgia.,QUEIXA,98.03%
paciente relata que teve muita demora do momento da internacao ate a hora da cirurgia.,QUEIXA,98.03%
demora no atendimento,QUEIXA,97.91%
desculpe apartei errado podemos recomecar pois estou muito satisfeita 5,ELOGIO,99.08%
ignorantes,OUTROS,85.24%
estava desorientada,QUEIXA,96.68%
as pessoas sao mal preparadas para lidar com os clientes. sao grossas e o processo e muito mal definido.,QUEIXA,96.26%
desculpe na verdade e 5,OUTROS,67.91%
boa tarde,OUTROS,59.69%
errei,OUTROS,85.24%
procura quem?,QUEIXA,92.09%
nao tenho interesse,OUTROS,82.79%
demara para ser atendido muito lento,QUEIXA,94.53%
desculpe numero 5,ELOGIO,91.67%
desculpe. me enganei. nao e nota 1 e sim nota 5,OUTROS,68.87%
"me passaram o endereco de uma das recepcoes, mas era em outra",QUEIXA,97.94%
desculpa foi erro de digitacao,OUTROS,79.64%
ate o momento nao saiu o resultado da biopsia,OUTROS,87.98%
respondi errado,ELOGIO,91.6%
recepcionista com informacoes divergentes em relacao a autorizacao de internacao e pouco pro ativa,QUEIXA,97.74%
demora de quase 1 hora para ser atendida devido a falta do sistema,QUEIXA,98.04%
a chegada ao hospital foi otima e bem receptivo os profissionais.,ELOGIO,97.8%
boa instalacao mas muitos percalco para realizar o procedimento,QUEIXA,90.78%
"espera no corredor, me colocaram em uma maca no meio do corredor, mesmo quando ja estava internada continuei na maca e nem fui pro local de internacao.",QUEIXA,97.93%
falta de comunicacao,QUEIXA,97.09%
desculpe errei,ELOGIO,91.67%
"tive um atraso por conta que alguns instrumentos estavam em falta, a moca disse que demorou o meu procedimento por conta disso!",QUEIXA,97.23%
nao tenho interesse,OUTROS,82.79%
nao tenho interesse,OUTROS,82.79%
pessimo servico muita conversa pouco atendimento,QUEIXA,96.51%
nao tenho interesse,OUTROS,82.79%
a espera para ser atendida para internar !,QUEIXA,97.4%
demora,QUEIXA,98.06%
foi tranquilo,ELOGIO,95.17%
muito tempo esperando e por ser um momento muito delicado acredito que acolhida deveria ter sido mais sensivel e humanizado!,QUEIXA,96.96%
nao tenho interesse,OUTROS,82.79%
"me desculpe, digitei errado. 5, muito satisfeita.",ELOGIO,99.68%
ta errado,ELOGIO,92.66%
desculpe. digitei errrado,ELOGIO,91.67%
"desculpa, fiquei muito satisfeito com o atendimento",ELOGIO,94.73%
demora,QUEIXA,98.06%
cheguei 12 45 do fui pra internacao 1 hora da madrugada fora que em uma cama desconfortavel para uma pessoa que tem uma lesao medular,QUEIXA,98.11%
recepcao lotada,QUEIXA,96.03%
nao tenho interesse,OUTROS,82.79%
nao tenho interesse,OUTROS,82.79%
recepcionista muito ignorante ao explicar como se usava o totem,QUEIXA,97.11%
a recepcionista extremamente mal educada.,QUEIXA,93.7%
atendimento pessimo demais,QUEIXA,92.59%
"a unidade estava super lotada, os profissionais estavam sobrecarregados",OUTROS,86.57%
ontem fui hapvida parque 10 chegando la tinha uma vaga para transvaginal fui na recepcao coloquei a digital eles mandaram esperar a minha vez depois de 30 minutos recepcao me chama e devolve a minha guia e diz que nao e possivel realizar o exame porque no dia inscricao eles colocaram que eu era homem e ate agora nao ajeitaramontem fui hapvida parque 10 chegando la tinha uma vaga para transvaginal fui na recepcao coloquei a digital eles mandaram esperar a minha vez depois de 30 minutos recepcao me chama e devolve a minha guia e diz que nao e possivel realizar o exame porque no dia inscricao eles colocaram que eu era homem e ate agora nao ajeitaram,QUEIXA,98.04%
desculpa a resposta era 5,OUTROS,69.84%
"o hospital cruzeiro do sul e um dos piores da rede, se meu filho precisar novamente eu nao vou aceitar",QUEIXA,95.02%
por conta do meu atendimento anterior o administrativo ou sistema nao fechou minha internacao e com isso atrasou toda minha cirurgia,QUEIXA,97.51%
