grupo,comentario_p1
ADMINISTRATIVO,"fui enviado do centro clinico de mogi, com suspeita de avc, estava com a face deformada e mesmo assim nao fui atendido prontamente, houve muita demora e os medicos nao souberam diagnosticar o meu problema"
ADMINISTRATIVO,"consegui facil acesso ao totem, o porteiro bem recepcionista, tudo estava certo."
ADMINISTRATIVO,"em todos os agendamentos de consulta nunca tive um bom tratamento, mas em uma situacao especifica eu atrasei 4 minutos para uma consulta e o medico foi embora! se recusaram a me atender"
ADMINISTRATIVO,demorou muito o atendimento e a internacao dela
RECEPÇAO,o atendimento da recepcao foi ruim
ADMINISTRATIVO,nao deram nenhuma assistencia
ADMINISTRATIVO,no momento que cheguei fomos bem atendido
ADMINISTRATIVO,"recepcao nao quis me atender com a guia que eu estava de internacao e nem me ajudaram a da entrada pela maquina. dei entrada das 07 00 falaram que eu ia ter meu bebe na troca de plantao as 09 00 e tive meu bebe as 14 20 da tarde. atendimento muito demorado hospital lotado e muito materiais faltando para os colaboradores. e sem contar na sala de cirurgia que a nestegia nao fez efeito fui cortada e sentir o corte. so nao morrir pq deus e maravilhoso e ainda nao era minha vez. quando tive alta nem papel de nascido vivo tinha no hospital, isso fez com que meu marido fosse no hospital no outro dia. vacina, e primeiros exames a ser feito em um rn? meu filho nao saiu com nada disso, tive que ta saindo com meu rn e recem operada pra clinicas lotadas para fazer os procedimentos. em fim . hospital particular ta ficando pior que sus. nem na minha primeira gestacao que tive em hospital publico nao aconteceu tudo isso que aconteceu no particular. isso e um pequeno resumo do dia que ganhei bebe, sem contar todos os outros transtornos que tive com o plano."
RECEPÇAO,falta de informacao na recepcao.
RECEPÇAO,a recepcao do hapvida e pessima. falta de suporte terrivel.
ADMINISTRATIVO,desatencao de todo corpo de trabalho
ADMINISTRATIVO,falha na comunicacao durante a regulagem
ADMINISTRATIVO,"a equipe mexendo no celular, de cabeca baixa e agindo apenas no automatico"
ADMINISTRATIVO,"ninguem tem comprometimento com nada, nao sabem nos acolher"
ADMINISTRATIVO,"4. depois do parto fiquei aguardando um leito ser liberado e durante esse periodo fiquei com a minha bebe chorando querendo peito e como era um local isolado nao passava enfermeira e a unica que tinha estava atras do leito e demorou mto pra vim. eu sozinha mesmo fraca fui tentar pegar a minha bebe ate que apareceu uma enfermeira e me deu ela pra por no peito. depois disso passou mto tempo pra outra pessoa aparecer, quando aparecia era pra ir em outro local que era proximo."
ADMINISTRATIVO,"aracy batista de souza, com 99 anos de idade, ficou praticamente a tarde inteira na maca da vitalmed, no corredor, aguardando vaga em leito da emergencia do hospital que nao dispunha nem de lencol. depois, ja com pedido de internacao para tratar uma infeccao urinaria, permaneceu uns dois dias nessa emergencia, por falta de acomodacao em apartamento coberto pelo plano contratado por ela ."
ADMINISTRATIVO,a demora do atendimento a limentacao do acomponhante e a divisao dos pacientes a sala muito pequena
RECEPÇAO,aguardei mais de 1 hora na recepcao e nao me deram suporte
ADMINISTRATIVO,entrei 8 30 da manha para internar e me levaram para o quarto as 17 00hr
ADMINISTRATIVO,a chegada foi rapida sem intercirremcias porem houve demora no atendimento e solucao do que deveriamos programar
ADMINISTRATIVO,demorou demais para mim ir para o leit
ADMINISTRATIVO,"paciente idosa ficou muito tempo sem alimentacao enquanto esperava um quarto e quarto demorando demais, passou a noite sentada em uma cadeira, fiora outros transtornos"
ADMINISTRATIVO,nao teve apoioe nenhuma ajuda com nada
ADMINISTRATIVO,atendimento rapido funcionarios respeitosos com um excelente atendimento
ADMINISTRATIVO,demora no atendimento para reconhecimento facial
ADMINISTRATIVO,"cheguei no hospital com carta de internacao do case e mesmo assim nao tive nenhum tipo de prioridade, esperei chamar pela senha e fiquei mais de 3 horas na recepcao aguardando um retorno. referente aos psicologos eu fiquei 16 dias internada e nao passou psicologo todos os dias, sendo que vim de uma complicacao de uma amputacao no salvalus, e mexeu demais com meu psicologico. nesses 16 dias nao foi assistente social e muito menos fonoaudiologo."
ADMINISTRATIVO,nao tem humanizacao
RECEPÇAO,"atendentes na recepcao tirando selfie e conversando sobre onde iriam almocar, durante o atendimento, sem nenhuma atencao ou empatia com o paciente."
ADMINISTRATIVO,demora no atendimento
ADMINISTRATIVO,a demora e o bispo cheio demais
RECEPÇAO,recepcao demora atendimento
ADMINISTRATIVO,nao consegui faser aplicacao de acido alioronico no joelho no dia 23
ADMINISTRATIVO,foi otimo
RECEPÇAO,fiquei mais de uma hora e meia na recepcao
ADMINISTRATIVO,"durante meu processo de pos cirurgia, no hospital foi horrivel! o medico ate me atendia perto do horario ja marcado, porem era necessario fazer a troca de tala, curativo e tirar um raio x. todo esse processo foi muito demorado. hospital lotado. eu chegava 8h e saia 12h. sem contar que reaproveiram minha tala para nao gastar material. qualidade pessima, filas para retirar senha para ser chamado. minha impressao e que a hapvida so quer arrecadar e nao quer investir. fora que uma divida foi perdoada pelo atual governo."
ADMINISTRATIVO,"realizei no dia 24 de julho uma cirurgia de histerectomia total videolaparoscopica com a dra aline garrido no hospital paulo sacramento em jundiai. fui recebida muito bem pela recepcao, pelos tecnicos de enfermagem no pre operatorio, a dra aline e uma excelente profissional, todos no centro cirurgico e nos pos operatorio foram maravilhosos. quando fui liberada para o quarto me levaram ate a maternidade e tambem fui muito bem atendida pela enfermeira e demais tecnicas."
ADMINISTRATIVO,as coisa sao desorganizado e minha filha n fez cirurgia nenhuma .
ADMINISTRATIVO,"estavamos esperando no recepcao do meio nao nos informaram que seriamos chamado em outra , apesar de perguntarmos. uma outra pessoa nos informou."
ADMINISTRATIVO,cheguei antes do almoco mais assinei os papel so 18h . pegou a veia dele as 18h . e fui pro quarto so as 22h.
ADMINISTRATIVO,fui na emergencia 5 x
ADMINISTRATIVO,demora no atendimento.
ADMINISTRATIVO,muita gente para poucos atendentes
ADMINISTRATIVO,ja tinha sido transferido do hospital da parangaba demorei no atendimento
ADMINISTRATIVO,"na cirurgia de julio, que foi realizado, a dvp da luna maria nao foi de sucesso, a recuperacao dela foi lenta e ela teve que voltar para refazer de novo"
ADMINISTRATIVO,demora no atendimento e medicacao
ADMINISTRATIVO,minha mae faleceu por falta inegligencia do hospital 2639 fe0f
ADMINISTRATIVO,"esse dia foi bastante estressante para arthur e para nos como familia dele. demos entrada no hospital de 13 e um pouquinho da tarde. arthur veio ser operado a noite, por volta das 20h mais ou menos. hospital vazio, e toda a demora foi devido a autorizacao que passou seculos para ser feita e antes de ser feita, foi nos informado que ele nao poderia fazer a cirurgia porque o plano era recente, porem um plano empresarial que nao tem carencia. o medico chegou a dizer que ia precisar fazer o procedimento na sala do consultorio mas que arthur precisava fazer ou entao ele poderia ter problema no dedo. depois de muita polemica, e horas de dor que meu filho passou, foi autorizado. e ai la se foram mais horas de espera por um maqueiro que um hospital desse tamanho so tinha 2 e nenhum dos dois apareceu pra nos levar pro bloco cirurgico."
ADMINISTRATIVO,"nao fui acolhida com deveria, passei a madrugada inteira na recepcao, podendo subir e fazer os exercicios la dentro. por causa disso o meu parto demorou mais que o esperado, ja que tinha chegado com 4 cm. nao fui acompanhada por nenhum medico no meu parto. ela so assinou o laudo... tive hemorragia, nao costuram minha laceracao e ate hoje estou no processo de sarar, ja fazem 87 dias."
ADMINISTRATIVO,"ao chegar minha filha foi diagnoscada com uma anemia, onde quando ela teve alta no resumo da alta nao tinha nada referente a anemia"
ADMINISTRATIVO,nao tinha leito suficiente na enfermaria
ADMINISTRATIVO,"fomos encaminhados para o hospital na sexta por volta das 19 horas para ser avaliado por um neurocirurgiao porem o profissional nao estava no hospital e nem tinha previsao de chegada. foi solicitado rnm e tomografia e apos sair o resultado do exame, nenhum profissional nos procurou para falar sobre o exame. fomos transferidos para o setor de enfermaria internamento e nenhum profissional nos comunicou nada e continuavamos la esperando o neurocirurgiao. o profissional chegou no sabado por volta das 19 00 e nos deu alta. achei pessima a falta de clareza na comunicacao dos profissionais com o atendimento."
RECEPÇAO,"recepcionista nao sao receptivos, fazem pouco caso e a recepcao estava suja de vomito, ficou suja por um bom tempo e demorou demais para chamar o atendimento"
MAQUEIRO,na chegada nao tem apoio do porteiro ou maqueiro para auxiliar com idosa cadeirante.
ADMINISTRATIVO,so precisa ter um pouco mais de organizacao durante a internacao do paciente.
ADMINISTRATIVO,um otimo atendimento e os melhores infermeiros e medicos fui muito bem tratado ai
ADMINISTRATIVO,"a principio uma bagunca pra realizar a cirurgia, nos mandaram pra casa, sem realizar a cirurgia e so marcaram a cirurgia por que ficamos insistindo e ligando para o hospital ate eu conseguir falar com um grupo de cirurgioes que eles que marcaram a cirurugia"
ADMINISTRATIVO,pronto socorro lotado
ADMINISTRATIVO,muito demorado o atendimento
ADMINISTRATIVO,"saturacao dela estava em 75 e demoraram horrores para colocar o o2 no pronto atendimento, sem contar o descaso no andar principalmente no periodo da noite, nem ligar comunicando que ela morreu o hospital ligou. fiquei sabendo pela cuidaora que era terceirizada. nunca tinha acontecido isso antes."
ADMINISTRATIVO,tenho 70 anos fiquei de 14 as 23 em jejum ate de agua para retirada. hipertensa e diabetica
MAQUEIRO,"na recepcao nao fui acolhida pelo maqueiro, fez de conta, nao me viu"
ADMINISTRATIVO,demora no atendimento
ADMINISTRATIVO,"falta de leito, 24 horas de tempo de espera para internacao."
ADMINISTRATIVO,muita demora no atendimento
ADMINISTRATIVO,"dependendo do dia e hora, tem muita gente na entrada, dificultando a demanda do atendimento."
ADMINISTRATIVO,"cheguei para me internar ia da 09h da manha e so deram entrada no meu internamento a noite, fiquei o dia inteiro ai esperando em jejum quando a equipe da noite chegou foi que deu entrada no meu internamento de tanto meus familiares ir reclamar"
ADMINISTRATIVO,"demorei muito pra ser atendida para avaliacao, cheguei no hospital no dia 12 de julho as 12 00h fui internada apenas 19 00 da noite e nem comida ofereceram, tive que pedir comida no ifood. minha bolsa estourou no dia 13 de julho as 05 40 e nem trocaram a roupa de cama tive que ficar encima da maca toda encharcada ate minha bebe nascer as 8 36, de bom mesmo foi somente a obstetra e a equipe da sala de parto."
ADMINISTRATIVO,pouca atencao
RECEPÇAO,demorou muito e as pessoas do atendimento eram muito mal educadas
TOTEM,"sou uma pessoa pcd, nao me ajudaram em relacao ao totem"
ADMINISTRATIVO,"a primeira internacao que foi em maio de 2024 foi maravilhosa, porem as demais estao sendo bem complicadas demoram demais pra realizar internacao. dizem que vai pra uti, demora horrores pra levarem e qdo buscam nao vai pra uti, vai pro quarto. uma demora absurda pra mudar de quarto, sair de uti e ir pra quarto....mas nao pouca demora, muito demora mesmo ai foi feito um procedimento que deram prazo pra tirar um dreno, nao tiraram no prazo e demorou muito pea alguem dar atencao. esta bem insatisfatorio o atendimento nesse hospital."
ADMINISTRATIVO,ela tava passando muito mal a demora na internacao foi muito
ADMINISTRATIVO,demora pra ser atendido
RECEPÇAO,a recepcionista foi muito grosseira
ADMINISTRATIVO,burocracia ele e um paciente acamado
ADMINISTRATIVO,"paciente na observacao, teve alta, retornou ao hospital no mesmo dia, poucas horas depois e teve de esperar o atendimento, sendo que a pressao estava altissima"
ADMINISTRATIVO,"a desorganizacao, a espera ., a sujeira"
ADMINISTRATIVO,"tudo pessimo, estava sentido dor no hospital eu tive que pedir remedio no iford, e sem cotar que deram alta sem o medico avaliar eu tive que ir para o hospital publico porque ai e um lugar horrivel, sem contar os horarios de visitas que sao 24horas, o povo toda hora entra e sai com cheiro de cigarro ai e um verdadeiro descaso!"
ADMINISTRATIVO,"meu pai nao fez nenhuma cirurgia, e ele ficou nao ficou internado no hospital sao bernardo, ele ficou internado num hospital longe la na vila maria em sao paulo. meu pai demorou muito para ser internado."
ADMINISTRATIVO,um bosta uma merda. uma merda de hospital perdi a minha esposa por suas causa.
ADMINISTRATIVO,"hospital nao ter um estacionamento gratuito para pacientes e inadimissivel! nao tem cabimento a paciente ter que se internar para realizar o procedimento e ter que pagar o dia em que o carro fica no estacionamento e um preco absurdo por isso! e o pior e pagar caro por um estacionamento em que nem uma cobertura e protecao para os carros tem, ficam no tempo e com o o asfalto do chao totalmente esburacado com crateras no chao. muito absurdo um hospital com a estrutura tao boa ter um estacionamento tao horrivel"
ADMINISTRATIVO,demora no atendimento
ADMINISTRATIVO,muita demora no atendimento
ADMINISTRATIVO,"avaliacao incorreta. na verdade, fiquei muito satisfeita. eles sao sempre muito atenciosos"
ADMINISTRATIVO,"fiz uma cirurgia de hernia. o atendimento da enfermeira foi excelente, muito querida e atenciosa. faz a cirurgia de hernia inguinal e mais outras hernia encontrada , nao nos avisaram q terminando a cirurgia eu teria q sair 30 minutos e ir para, sai anestesiada , tonta ,com dor , veio outra enfermeira e falou que eu precisava ir embora, assim como se tratava bicho , tive q chamar uber totalmente sem saber o que fazer por que estava com dor ,depois de uma anestesia geral, foi a pior experiencia que ja no plano , isso que tenho plano a 15 anos tirando a primeira enfermeira que me recebeu, o resto nada foi feito, outro onix, e muito melhor so tenho agradecer ali sim fale apena ter o plano de saude, pq plano tudo era muito, depois que muito. esta so ladeira a baixo."
ADMINISTRATIVO,"na chegada, tudo bem. pra variar vcs demoram demais pra iniciar todo e qualquer procedimento"
ADMINISTRATIVO,"sim, entrei para a sala do pre operatorio por volta de 12 horas e minha cirurgia estava marcada para as 13 horas, apos a cirurgia voltei para a sala de pre operatorio, pacientes do pre operatorio e pos cirurgico no mesmo local a espera de leito, so conseguiram um leito as 23 45 minutos, enquanto varios outros pacientes de pos operatorio ficaram esperando leito."
MAQUEIRO,demora do maqueiro
ADMINISTRATIVO,cheguei pela emergencia e teve uma grande demora para o primeiro atendimento
ADMINISTRATIVO,"nao houve insatisfacao no hospital aldeota !!! foi no hospital antonio prudente !! lotado ,nao tinha leito pro meu vo um idoso de 82 anos nao tinha nem onde sentar , zero acomodacao , quando surgiu um leito na observacao meu vo piorou muito medico veio conversou disse que iria iniciar as medicao porem nada foi feito na observacao ,ele pirou muito chamei o medico 2x relatei que ele nao estava bem e desceram com ele quase parado pra sala de cuidados , imagina pra um paciente idoso que paga anos o plano pra no dia que precisa ser tratado pior que um hospital publico , pra familia o quanto desesperador , nao tinha leito de uti ele so foi pra uti no outro dia no hospital aldeota ,o consultorios do antonio prudente da nojo entrar, todos sujos chao encardidos cabelos no chao poeira , sera mesmo que estamos usando um servico particular de saude ? revejam seus conceitos de gestao de tratar melhor seus clientes, seus funcionarios , ninguem vai pra um hospital porque quer , ai voce chega no local pra ser bem atendido e so ver decepcao , e nao culpo os funcionarios , e um hospital sobrecarregado sem estrutura adequada a anos !!! banheiros sujos , a observacao os leitos embaixo tudo cheio de poeiras ,paciente com pneumonia piora ou nao num local desse? e triste ver a realidade do hospital antonio prudente e sempre as mesmas reclamacoes e ninguem faz absolutamente nada !!! trata a vida das pessoas como se fosse nada!! sera que vou ser so mais um a reclamar com os mesmos problemas antigos ? voces ja foram nas enfermarias do lado a? banheiros antigos nem cadeira de rodas entra como que pode ? camas quebradas ,poltronas rasgadas equipes sobrecarregadas e ninguem faz absolutamente nada! sera mesmo que podemos chamar isso de sistema de saude particular? olha ja fui muito em hospital publico e posso lhe dizer que esta bem mais limpo e organizado que o hospital antonio prudente !! eu espero que mude pra melhor , voces lhe dao com vidas !!! e nao com objetos ."
ADMINISTRATIVO,"o meu parto estava marcado para o dia 23 07 e previsto para as 11 horas da manha. mandaram mensagem para eu estar de jejum completo a partir das 3h da manha e da entrada as 9 horas da manha. tudo foi feito como recomendado, como meu plano ainda nao cobria o parto este foi pago. a minha filha so foi nascer as 20 39 da noite porque no hospital nao tinha leito e isso depois de ter muita confusao. ninguem veio ate mim para colocar soro nem nada. a minha acompanhante teve que fazer escandalo ate para colocar um soro porque eu estava a maos de 20 horas em jejum total, depois disso tomei varios soros glicosados porque a glicemia estava baixa. no dia da alta sai sem nenhum direcionamento dos testes da minha filha sem as guias de solicitacao dos mesmos. passei mal duas vezes com pressao alta e fui mal atendida."
ADMINISTRATIVO,muita demora para ser atendida
ADMINISTRATIVO,tempo de espera muito alto
RECEPÇAO,muito pouco caso e uma eternidade pra da atencao o paciente ja chega apreensivo e nervoso e ainda aguardar um descaso de pouco caso de funcionarios em recepcao despreparados pra acolher em um procedimento tao delicado.
ADMINISTRATIVO,demora no atendimento
ADMINISTRATIVO,"acredito que atendimento de emergencia, e necessario saber tirar melhor o que requer pronto atendimento ou nao."
ADMINISTRATIVO,"meu filho foi pra emergencia da hapclinica uruguai duas vezes e teresa de lisieux duas vezes e nao fizeram nenhum exame pra ve. no uruguai teve um medico que disse ser manha... na emergencia do teresa ele ficou o dia inteiro sem medicacao, alimentacao, cuidado... estava aguardando leito, varias pessoas que chegaram depois passou na frente o internamento dele tinha sido cancelado por uma auditoria de fortaleza depois de muita luta humilhacao conseguimos o leito."
ADMINISTRATIVO,parece que todo mundo trabalha obrigado e nos paciente estamos pedindo favor.
ADMINISTRATIVO,minha irma faleceu na hapvida por negligencia. desde o primeiro dia que ela foi ao hospital. fazer o primeiro atendimento nao fizeram um exame de imagem e o quadro dela so piorou depois de muitas tentativas conseguiram fazer uma tomografia e foi diagnosticada com ca. no qual a hapvida negou desde o exame de petscan e a radioterapia nunca autorizada ela veio a obito e nao teve atendimento. portanto nao tenho como esta satisfeita com a hapvida
ADMINISTRATIVO,demora no atendimento. clinica desumana falta de respeito com o paciente.
ADMINISTRATIVO,falta de funcionarios
MAQUEIRO,nao tem maqueiro
ADMINISTRATIVO,me colocaram em um quarto coletivo sendo que meu plano e individual. alem de tudo me colocaram com uma pessoa que ia fazer uma amputacao de membro e a mesmo apresentava um cheiro muito forte. devido a isso pedi para trocar de quarto e informaram que nao tinha. por isso tive que ir embora do hospital as 2 da manha porque era impossivel ficar no mesmo quarto ate as enfermeiras do setor falaram isso . outra queixa foi o atraso para realizar a cirurgia era as 13 e aconteceu as 20 horas
ADMINISTRATIVO,nao sabem atender as pessoas como se deve atender com educacao
RECEPÇAO,"muita demorado o atendimento da recepcao, nesse dia o hospital estava bem cheio"
ADMINISTRATIVO,"confesso quando pesquisei os comentarios no site do hospital fiquei com muito receio , pois nao eram bons os relatos , porem fui muito bem atendida desde da recepcao ate o momento da saida do hospital . tive um atendimento rapido na recepcao na entrada para internacao , logo fui levada para o quarto. cheguei no hospital as 08 00hs da manha as 20 30 eu recebi alta , para mim o hospital bosque da saude foi excelente , nao tenho nada a reclamar."
ADMINISTRATIVO,sempre que preciso nao tem ninguem no totem para auxiliar
ADMINISTRATIVO,"desorganizacao, pouco caso, esquecimento etc"
ADMINISTRATIVO,o tempo de espera no atendimento entre a enfermaria e o que vai ser feito com o paciente durou mais de 8 horas.
ADMINISTRATIVO,"nao tem maqueiro, muito demorado, dei entrada na segunda noite e disseram que meu procedimento seria feito pela manha de terca, porem eu so fiz o procedimento na terca a tarde ou seja muito tempo sem alimentacao, ai so podendo me alimentar algum tempo depois do procedimento."
ADMINISTRATIVO,cheio e sem assistencia
ADMINISTRATIVO,ele por ser crianca autista muito demorado o atendimento tanto na recepcao pra dar entrada e no atendimento
ADMINISTRATIVO,"hospital com otima estrutura pra atender os pacientes, mas infelizmente achei muito despreparo dos medicos, nao falavam corretamente sobre o quadro do paciente, eles nao disseram que a paciente estava com anemia, e os riscos que estava correndo, ao sair da uti com a ida para o quarto auxiliar de enfermagem despreparado para aplicar medicacao, nao sabiam o que estava aplicando e muita das vezes estavam com medicacao errada de outros pacientes, as enfermeiras chefe nao se apresentava e quando cobravamos algo exame, ou medicacao era uma arrogancia, nao faziam troca de fralda e nem medicacao, medicacao saia da farmacia e nao ia para o paciente, a unica parte que funcionava bem era a alimentacao nutricional, mas o resto infelizmente esta pior do que o sus. muito triste, ate hoje o unico medico que me deu satisfacao sobre o quadro foi a cirurgia denise e sua equipe, e o cirurgiao aldo que viu muita coisa errada e prescreveu as medicacoes correta, mas ainda sim ela foi liberada alta correndo muito risco, bem como anemina aguda, infeccao de urina grave e muito liquido no corpo, derrame pleural, coracao inchado, sendo que a entrada foi apenas com dilatacao na vesicula bilear e pedra na vesicula. profissionais bem despreparados, agora vamos ter que passar por um novo processo de cpre e espero que estejam medicos preparado para retirar iguais aos medicos sabem como a dra cirurgiao denise e sua equipe."
ADMINISTRATIVO,"pra conseguir contato com o hospital para solicitar a ambulancia demorou 5h pra conseguir falar com a atendente. demorou mais 3 horas pra chegada da ambulancia e quando cheguei no hospital fiquei de observacao por mais de 6 horas no terreo na sala de medicamentos, com o femur quebrado em mais de 5 partes, e nesse periodo nenhum medico foi me examinar ou tirar raios x da fratura.. porque o hospital nao tinha ortopedista, depois que subi para internacao fiquei mais 2 dias e meio pra ir pra sala de internacao sem banho, morrendo de dor. porque o hospital nao tinha ortopedista para fazer a cirurgia. foi pessimo o atendimento"
ADMINISTRATIVO,"nao consigo marcar meu ortopedista pelo aplicativo, so pessoalmente."
MAQUEIRO,nao tinha maqueiro ali no momento
ADMINISTRATIVO,"digitei errado. estou muito satisfeito com todo o atendimento prestado. profissionais excepcionais , atenciosos e prestativos. toda a equipe hospitalar."
ADMINISTRATIVO,a biometria facial nao funciona direito. tem que haver varias e varias tentativas para da certo.
ADMINISTRATIVO,olha o hospital muito bem organizado colaboradores competentes educado e atenciosos
ADMINISTRATIVO,"fiquei em um andar em reforma, muitas das vezes nao ia refeicao para mim, nem cafe da manha, meus gemeos ficou na itu, e eu com uma lacadura e cezaria fiquei sozinha isolada sem acompanhante nem meu esposo deixaram ficar comigo, pensei que ia entra em depressao."
ADMINISTRATIVO,desculpa fiz errado. o atendimento no hospital foi muito bom
ADMINISTRATIVO,"1.muito tempo para chegar antes do procedimento 2 horas . 2.falta de comunicacao da equipe do hospital com a equipe medica.exemplo pela equipe medica foi passado um protocolo, chegando no hospital foi feito outro desencontro de informacao. 3.pre operatorio com pessima estrutura.salas geladas sem conforto para o paciente. 4. ao realizar o procedimento sequer tinha um travesseiro na maca o medico teve que improvisar com lencol obs. equipe medica desde o profissional dr galvane e seus assistentes estande parabens"
ADMINISTRATIVO,"hospital super lotado,fiquei internado na observacao em uma cadeira por 24h sem comer,sem banho terrivel"
ADMINISTRATIVO,"alimentacao, atendimento varios motivos"
ADMINISTRATIVO,"muita demora no atendimento, muitos colaboradores mal humorados, nao ha informacoes, estamos tipo jogados e esquecidos ali. o problema nao foi no atendimento da recepcao,porteiro ou maqueiro e sim a insatisfacao onde fiquei na observacao antes de ser levad para uma sala de espera"
ADMINISTRATIVO,"o procedimento foi marcado para as 13h e eu estava em outra unidade esperando ir me buscarem, a ambulancia so chegou perto das 17h, ao chegar no hospital antonio prudente nao tinha maca e nem leito disponivel, tive q ficar na maca da ambulancia e os paramedicos esperando para levar a maca, qdo conseguiram a maca nao tinha leito, esperei por algum tempo um leito aparecer, e enquanto isso ja era noite e eu estava com fome desde as 06h da manha, o procedimento q era pra ter feito as 13h da tarde e foi feito 2h da manha e ate la eu com fome, glicemia baixa, as enfermeiras so aplicando glicose e eu so passando mal."
ADMINISTRATIVO,"o atendimento so foi bom ate fazer os exames,apor isso a demora foi extrema e foram ate ironicos comigo"
ADMINISTRATIVO,"houve a cirurgia, porem depois de muita negligencia com o paciente a ponto de aumentar a necrose no pe. o que poderia ser amputado somente um dedo , foi amputado metade do pe. negligencia sim por falta de demora no atendimento , por falta de autorizacao de exames e ate por falta de curativos diarios. a cirurgia saiu apos muitas reclamacoes na coordenacao, com o chefe dos medicos do posto de enfermagem, e muito mais. um pessimo atendimento por parte do hospital."
ADMINISTRATIVO,mais a liz nao fez nenhuma cirurgia. eu cheguei 8 horas no hospital e fui ser internada somente anoite demorou muito.
ADMINISTRATIVO,"faz uns 2 anos que estou tentando fazer a cirugia da minha mae de catarata e nao consigo, nunca sai autorizacao"
PORTEIRO,"o porteiro nem se quer pergunta para onde voce vai, tem muito descontrole de entrada e saida de pessoas, as recepcionistas raramente dao informacoes concretas, sempre dizem que vao perguntar a terceiros e por ai fica"
ADMINISTRATIVO,"ok. colheram exames no meu rn e quando fui buscar,o laboratorio disse que precisava de recoleta.perderam os exames"
ADMINISTRATIVO,"deveria rever o tempo de gestacao, em vez de 41 semanas internar com 40"
RECEPÇAO,"muita confusao na recepcao,muitas brigas"
ADMINISTRATIVO,funcionarios bem mal humorados
ADMINISTRATIVO,informacoes errada de ambos
ADMINISTRATIVO,as vezes nao tem cadeira de roda
PORTEIRO,"ninguem ajudou, minha bolsa estourou no estacionamento e nenhum porteiro ajudou com cadeira de rodas fikei tempo todo com dor em pe pra fazer triagem, funcionarios muito dispersos devagar lentos."
ADMINISTRATIVO,a demora no ambulatorio
ADMINISTRATIVO,"caio nao fez cirurgia, ele teve uma crise de asma grave .enquanto ele tava na unidade hapvida da riberania tudo ok depois que foi para o hospital sao francisco nao gostei ficou na observacao cheio de gente lotado, pessoal da enfermagem nao dava conta,medico nao sabia escrever era tava gente que teve hora que o proprio medico nao sabiam mais oque os pacientes tinha e nem o exame de quem era ,tudo isto pq eu vi ,comida fria ,hospital que tem melhorar limpeza, colocar medico e nao estudantes. pagamento caro convenio e usamos pouco porem servico que oferece baixa qualidade hospital cheio,socaram os pacientes tudo junto sala observacao, meu filho com asma crave"
ADMINISTRATIVO,"nao houve ajuda espontanea, chegou passando mal e eu fui atras de cadeira de rodas ai o maqueiro veio ajudar"
ADMINISTRATIVO,demorou muito para subir para o quarto
RECEPÇAO,"eu cheguei com uma hora de antecedencia, para nao ter atrasos, recepcao muito mal educado,."
RECEPÇAO,"quando cheguei ao hospital, estava com contracoes fortissimas, e a recepcao me fez cadastrar a biometria ao inves de me prestar atendimento de emergencia, entendo que os funcionarios nao tem culpa, mas sim o sistema da hapvida que e horrivel."
ADMINISTRATIVO,demora no atendimento...chegamos cedo 04 30 subimos as 11 00
ADMINISTRATIVO,alta demora para subir para fazer o procedimento
ADMINISTRATIVO,otimo atendimento
ADMINISTRATIVO,minha mae teve um avc e nao foi diagnosticado teve alta e os familiares teve que usar recursos financeiros proprios para pagar um medico particular para que fosse diagnosticado o avc.
ADMINISTRATIVO,voces mataram a minha ma
ADMINISTRATIVO,"fiquei muito tempo na sala de emergencia, sem tomar medicamento, pois estava sem dor e nao deixaram eu usar o banheiro"
ADMINISTRATIVO,"estava demorando muito para liberar a internacao, o sistema dava falha. varias vezes a moca pegava minha digital e nao conseguia liberar ."
ADMINISTRATIVO,demora no atendimento
ADMINISTRATIVO,nao houve cirurgia. nao passou com o oncologista. nao teve diagnostico
ADMINISTRATIVO,muita demora
ADMINISTRATIVO,"ficamos na observacao todos os dias porque nao tinha berco para nos levar para quarta,"
ADMINISTRATIVO,deram alta medica e meu esposo faleceu em casa. se estivesse no hospital ele teria o socorro adequado.
RECEPÇAO,demora para atendimento e recepcionista muito grosseiro
TOTEM,o totem nao estava funcionando
ADMINISTRATIVO,descaso com a situacao da paciene
ADMINISTRATIVO,achei meio desorganizado com certa demora
ADMINISTRATIVO,nao fomos bem orientadas a qual atendimento seria o ideal no momento. passamos por 2 consultas
ADMINISTRATIVO,nao tinha leito disponivel sai do centro cirurgico as 9 00 conseguiram um leito mais de 1 hr da tarde
ADMINISTRATIVO,"me encaminharam pro pa errado, quando claramente estava gestante"
ADMINISTRATIVO,"o acolhimento, a falta de maca, a maneira como fomos tratados, sem nenhuma humanidade, a falta de informacao, meu marido ficou sem comer ate as 22h, dizendo que ia fazer o procedimento naquele dia. quando meu filho foi falar com o medico ele constatou que a cirurgia nao seria feita naquele dia, ja nao tinha alimentacao pro paciente porque a copa estava fechada. foi necessario meu filho sai pra comprar comida pra o pai. foi uma experiencia horrivel tuda humilhacao que passamos o sofrimento e o descaso desde a chegada ate a saida quando passou mais de uma hora esperando o maqueiro."
ADMINISTRATIVO,fui bem atendida
MAQUEIRO,"faltou apoio, nao teve maqueiro tivemos que ir atras de cadeiras de rodas pq ela tem dificuldade de locomocao"
ADMINISTRATIVO,muita desorganizacao
